chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.26150692,1101.5202731854195,1161.5359525514457,1848.779296875,0.05819357965225564,-611.623,140.21944,-26.86541,-1.5288829,-28.500969,-16.674915,-3.527776,-6.008986,-30.602781,-23.045456,12.7879505,-3.0700712,-12.1752405,-9.57847,-18.669168,-20.405336,-5.4946923,-3.7841597,-10.515946,-7.7017374,No PD
0.2817698,1398.5845750331798,1442.1687863278726,2288.790986032197,0.09922138047138047,-379.38553,128.89653,-33.110867,19.715353,-17.114626,20.867895,-16.373075,-0.79905766,-15.516526,2.1762433,4.5103106,-12.415238,-7.8855467,-20.765083,-6.8801246,-10.056124,-1.203408,-21.722689,-11.072114,-5.91376,No PD
0.23517738,1285.8986612164003,949.5902496665137,1730.163995150862,0.08971279334291188,-495.29288,127.90281,-85.31518,-31.882267,-39.436054,-1.126242,28.340921,-18.931116,-25.706068,-0.2835015,-25.250902,-17.61021,-6.860242,-18.18766,3.6321573,-6.527877,-8.230433,3.1299417,-8.767693,-13.342926,No PD
0.3381053,1187.8885665183357,1294.8575940459345,1996.9275081858916,0.07678402171415441,-516.62463,137.21649,-4.509117,5.568356,-31.140654,-8.022858,-21.265697,-12.577261,-29.362991,-24.55243,10.042163,-4.9618735,6.7179,-10.654997,-15.327269,2.1431231,-14.230659,-4.9874206,1.3691454,-22.139418,No PD
0.23751667,1750.4521507776315,1830.1259518946538,3758.3241338315215,0.07487332993659421,-381.3959,98.620316,-27.51222,16.500105,-64.94515,5.066852,-6.616102,5.6872716,-24.54681,4.526694,5.5509863,-23.312408,5.740898,-21.237316,-4.0916195,-17.546785,-10.010025,-10.604033,-20.006613,-7.073865,No PD
0.30673143,1377.9878494237898,1052.3161325162764,2266.0529641544117,0.10148782169117647,-300.47278,136.83638,-104.01544,-11.829307,-36.75066,-5.5979915,-6.1178994,-7.997293,-14.279197,-38.683895,7.5148463,-4.0347056,-21.298044,-4.417332,-1.564944,2.678967,-9.8784685,-7.872435,-4.497609,-20.399733,No PD
0.36773217,1584.474654842435,1418.1061592928595,2414.379222972973,0.13151544401544402,-347.49973,132.96382,-41.52827,3.4649673,-27.184141,32.614086,-4.106667,2.8681772,-15.7632675,-7.880769,4.5590777,-12.388357,-2.6082733,-16.126183,-3.7384744,-11.495432,-4.788359,-7.600211,-16.529247,-8.297242,No PD
0.2953425,1122.6179080364107,816.995219896307,1573.2802503690946,0.0955205001230315,-427.07404,190.15872,-74.46557,-42.53964,-32.91497,-12.063457,-0.13692036,-23.690073,-38.657833,-7.6222587,-13.338115,0.30532572,3.4405172,-29.173796,-2.5096028,-6.240247,-13.133949,-3.8728628,-4.0137677,-15.557341,No PD
0.30115038,1383.779439614026,1416.0519223345186,2501.935445851293,0.07856838182471264,-550.47485,141.214,-42.872498,-12.438737,-36.48827,-1.2868212,-7.6273303,-7.3506746,-33.929718,9.569942,1.248371,-28.057442,-7.145569,-18.088928,1.7710367,-11.503317,-4.473682,-17.70145,-15.070642,2.9843142,No PD
0.2968154,1064.7190377882866,1118.9377357770393,1770.8737362132354,0.05877565870098039,-386.36478,173.1292,-31.220932,-0.334993,-40.329365,-6.2340436,-17.363495,-2.937374,-19.824436,-54.867294,13.869202,15.145866,-17.559729,-20.322235,-16.314993,-1.6705825,-18.876749,-14.412747,12.757725,-14.107023,No PD
0.17328587,975.9525863488619,1066.775775479839,1509.270489032452,0.0491943359375,-526.89465,145.40744,-14.966501,-11.941983,-22.03753,3.7491617,19.460209,-4.9939904,-22.814585,-6.45008,-18.2226,-30.439087,-1.7745459,-9.128982,-13.037215,0.48582846,-2.807836,-5.1696424,-12.318038,-11.698171,No PD
0.29078212,973.2956694261435,974.5880133128558,1326.6109525240386,0.06705791766826923,-514.1379,177.46582,-17.349823,-19.98242,-42.248806,-19.015572,-13.126021,1.8963299,-11.598017,-22.632755,-12.41528,-5.753967,1.4784995,-22.044418,-10.175622,-8.063948,-8.788896,4.619408,-4.7985706,-10.111623,No PD
0.17413196,1230.2916233885753,1111.6130274485593,1605.687890625,0.080056640625,-540.24976,127.84238,-37.509045,-36.962524,-45.078487,10.0641985,3.2738316,-16.601353,-22.987219,3.316229,5.096075,-11.685496,-3.5737605,-21.841722,-26.523317,-21.423824,-11.129202,-11.001724,2.9137044,-0.26292762,No PD
